Page, RTT, PLT: 10*mss & non-TFO (s), PLT: 10*mss & TFO (s), Improvement, PLT: 50*mss & TFO (s), PLT: 100*mss & TFO (s), PLT: 500*mss & TFO (s), PLT: 1000*mss & TFO (s), PLT: 5000*mss & TFO (s)
amazon,10,11.2591666667,10.3958333333,10.3808333333,10.3733333333,10.3625,10.3741666667,10.3808333333,7.7%
amazon,50,16.0616666667,13.0141666667,13.0333333333,12.9733333333,13.0091666667,12.9466666667,12.9733333333,19.0%
amazon,100,26.9666666667,20.2508333333,20.2716666667,20.2283333333,20.2616666667,20.1875,20.2891666667,24.9%
nytimes,10,3.34666666667,2.96,2.95583333333,2.95666666667,2.96083333333,2.95833333333,2.95666666667,11.6%
nytimes,50,5.37583333333,4.00416666667,4.03833333333,4.01833333333,4.00333333333,4.00833333333,4.03166666667,25.5%
nytimes,100,9.11666666667,6.63333333333,6.6425,6.63666666667,6.68083333333,6.63833333333,6.65083333333,27.2%
wsj,10,8.52333333333,8.34333333333,8.345,8.34,8.34083333333,8.34333333333,8.345,2.1%
wsj,50,8.9525,8.51083333333,8.52333333333,8.52583333333,8.52583333333,8.54083333333,8.54416666667,4.9%
wsj,100,10.1975,9.14,9.1225,9.14666666667,9.1425,9.14166666667,9.1225,10.4%
wikipedia,10,2.87583333333,2.52416666667,2.52,2.5225,2.51916666667,2.5225,2.52083333333,12.2%
wikipedia,50,5.23833333333,3.90083333333,3.90333333333,3.9025,3.89083333333,3.89833333333,3.89666666667,25.5%
wikipedia,100,9.58166666667,6.63083333333,6.62416666667,6.63583333333,6.62833333333,6.62583333333,6.62333333333,30.8%
